plant_as_reported,antiforaging_index,fungal_screen,antiforaging_dose,fungal_screen_dose,ant,fungus,source_id,original_url,locator,taxonomic_status
Acalypha communis,50,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Astragalus distinens,50,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Baccharis artemisioides,50,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Bidens pilosa,50,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Solanum palinacanthum,50,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Vernonanthura nudiflora,50,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Baccharis sessiliflora,46.7,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Verbesina encelioides,45,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Acacia atramentaria,40,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Melissa officinalis,40,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Minthostachys verticillata,37.5,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Ligaria cuneifolia,35,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
